the_geom,postcode,id,name,building_name,street_name,suburb,state,cartodb_id,address,phone_number,latitude,longitude,active,ticket_types_sold,comments,opal_id
0101000020E61000008D677718E8F2624066FCA2D4C36140C0,2323,41190,Coles Green Hills,Stockland Greenhills,Mitchell Dr & Molly Morgan Dr,Green Hills,NSW,1661,"Stockland Greenhills, Mitchell Dr & Molly Morgan Dr, Green Hills NSW 2323",02 4933 4766,-32.763788776,151.590831979,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41190
0101000020E6100000C0516CB14DD362406684F46A79DC40C0,2774,41296,Warrimoo General Store & Post Office,,280 Great Western Hwy,Warrimoo,NSW,1662,"280 Great Western Hwy, Warrimoo NSW 2774",,-33.722455377,150.603234016,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41296
0101000020E61000007EAA28633EE76240D000B3822CC640C0,2083,41297,Brooklyn Post Office,,3 Bridge St,BROOKLYN,NSW,1663,"3 Bridge St, Brooklyn NSW 2083",,-33.548233354,151.226365642,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41297
0101000020E610000009992E3B69F46240C54B30CF9C8B40C0,2281,41314,Swansea Newsagency,,204 Pacific Hwy,Swansea,NSW,1664,"204 Pacific Hwy, Swansea NSW 2281",02 4971 1305,-33.090722941,151.637845603,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41314
0101000020E61000006190039502EB62409DC0F5DA8CB640C0,2250,41315,Service NSW Gosford,"Shop 11-12, Park Plaza ",Cnr Henry Parry Dr & William St,Gosford,NSW,1665,"Park Plaza, Cnr Henry Parry Dr & William St, Gosford NSW 2250",13 77 88,-33.426173563,151.344065196,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41315
0101000020E6100000F8AF07EEFBEA6240B76C474D88B640C0,2250,41315,Service NSW Gosford,"Shop 11-12, Park Plaza",Cnr Henry Parry Dr & William St,Gosford,NSW,1666,"Shop 11-12, Park Plaza, Cnr Henry Parry Dr & William St, Gosford NSW 2250",13 77 88,-33.426034603,151.34325315,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41315
0101000020E6100000B9C3263273F86240CB129D65167740C0,2300,41318,Service NSW Newcastle,,114 Parry St,Newcastle,NSW,1667,"114 Parry St, Newcastle NSW 2300",13 77 88,-32.930371,151.764062,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41318
0101000020E6100000CC82050776DD62400D122B6E1FF440C0,2170,41319,Service NSW Liverpool,"Shop R19, Liverpool Megacenta",2-18 Orange Grove Rd,Liverpool,NSW,1668,"Liverpool Megacenta, 2-18 Orange Grove Rd, Liverpool NSW 2170",13 77 88,-33.907209178,150.920657645,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41319
0101000020E61000001967A89193E66240D5B34B14D4EE40C0,2000,41320,Service NSW Wynyard,,19 York St,Sydney,NSW,1669,"19 York St, Sydney NSW 2000",13 77 88,-33.865847146,151.205513791,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41320
0101000020E61000003B8908FF22C86240C1C41F459DCB40C0,2786,41327,Mount Victoria General Store & Newsagency,,109 Great Western Hwy,Mount Victoria,NSW,1670,"109 Great Western Hwy, Mount Victoria NSW 2786",,-33.590737,150.254272,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41327
