mode,date,tap,time,count
bus,20160814,off,13:00,6637
bus,20160814,off,02:45,128
bus,20160814,off,23:30,576
bus,20160814,off,17:45,6567
bus,20160814,off,10:45,6223
bus,20160814,off,05:15,151
bus,20160814,off,20:00,2268
bus,20160814,off,12:30,7023
bus,20160814,off,07:00,655
bus,20160814,off,14:15,7036
bus,20160814,off,08:45,3979
bus,20160814,off,23:45,415
bus,20160814,off,-1,15201
bus,20160814,off,13:15,6848
bus,20160814,off,11:45,7013
bus,20160814,off,22:45,1025
bus,20160814,off,05:00,164
bus,20160814,off,16:15,7164
bus,20160814,off,01:15,164
bus,20160814,off,14:00,6864
bus,20160814,off,21:15,1641
bus,20160814,off,07:30,1418
bus,20160814,off,06:30,668
bus,20160814,off,01:00,149
bus,20160814,off,15:00,6802
bus,20160814,off,16:00,7459
bus,20160814,off,23:15,759
bus,20160814,off,12:15,6622
bus,20160814,off,21:00,1760
bus,20160814,off,04:30,240
bus,20160814,off,05:30,224
bus,20160814,off,03:15,124
bus,20160814,off,14:30,7093
bus,20160814,off,18:15,5823
bus,20160814,off,06:45,787
bus,20160814,off,19:00,4053
bus,20160814,off,12:00,6557
bus,20160814,off,09:45,6244
bus,20160814,off,23:00,898
bus,20160814,off,00:45,144
bus,20160814,off,04:00,119
bus,20160814,off,17:30,6785
bus,20160814,off,10:15,5634
bus,20160814,off,08:30,3701
bus,20160814,off,03:00,122
bus,20160814,off,21:30,1787
bus,20160814,off,15:45,7572
bus,20160814,off,18:00,5984
bus,20160814,off,20:30,2057
bus,20160814,off,19:15,3263
bus,20160814,off,08:00,2393
bus,20160814,off,02:00,67
bus,20160814,off,13:45,7028
bus,20160814,off,17:00,7020
bus,20160814,off,09:30,5341
bus,20160814,off,22:30,1487
bus,20160814,off,04:15,153
bus,20160814,off,03:30,111
bus,20160814,off,10:00,5633
bus,20160814,off,18:30,5046
bus,20160814,off,20:45,1795
bus,20160814,off,07:45,1997
bus,20160814,off,06:00,250
bus,20160814,off,05:45,309
bus,20160814,off,08:15,2637
bus,20160814,off,11:00,6157
bus,20160814,off,02:15,150
bus,20160814,off,22:00,1331
bus,20160814,off,17:15,7049
bus,20160814,off,10:30,5944
bus,20160814,off,15:30,7407
bus,20160814,off,14:45,6879
bus,20160814,off,00:30,219
bus,20160814,off,19:30,3095
bus,20160814,off,06:15,449
bus,20160814,off,01:45,165
bus,20160814,off,16:45,7251
bus,20160814,off,11:15,6491
bus,20160814,off,09:15,5014
bus,20160814,off,22:15,1387
bus,20160814,off,21:45,1564
bus,20160810,on,02:30,173
bus,20160810,on,13:30,10911
bus,20160810,on,15:15,29343
bus,20160810,on,12:45,10549
bus,20160810,on,00:00,522
bus,20160810,on,16:30,18725
bus,20160810,on,04:45,727
bus,20160810,on,03:45,114
bus,20160810,on,19:45,5300
bus,20160810,on,01:30,212
bus,20160810,on,07:15,24992
bus,20160810,on,09:00,16300
bus,20160810,on,18:45,10870
bus,20160810,on,11:30,10219
bus,20160810,on,20:15,4081
